State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Michael Badnarik [ 11 ] Libertarian_Votes,Michael Badnarik [ 11 ] Libertarian_Pct,Various candidates [ 11 ] Write-ins_Votes,Various candidates [ 11 ] Write-ins_Pct,Michael J. Badnarik [ 9 ] Libertarian_Votes,Michael J. Badnarik [ 9 ] Libertarian_Pct,Michael Anthony Peroutka [ 9 ] Constitution_Votes,Michael Anthony Peroutka [ 9 ] Constitution_Pct,Various Other Candidates [ 9 ] Write In_Votes,Various Other Candidates [ 9 ] Write In_Pct,Ralph Nader Reform_Votes,Ralph Nader Reform_Pct,Michael James Badnarik Libertarian_Votes,Michael James Badnarik Libertarian_Pct,Ralph Nader By Petition_Votes,Ralph Nader By Petition_Pct,Michael Badarnik Libertarian_Votes,Michael Badarnik Libertarian_Pct,Michael Peroutka Nebraska_Votes,Michael Peroutka Nebraska_Pct,Ralph Nader Independent_Votes,Ralph Nader Independent_Pct,Michael Badnarik Libertarian_Votes,Michael Badnarik Libertarian_Pct,Michael Peroutka Constitution_Votes,Michael Peroutka Constitution_Pct,Michael J. Badnarik Libertarian_Votes,Michael J. Badnarik Libertarian_Pct,David Cobb Green_Votes,David Cobb Green_Pct,Walt Brown United Citizens_Votes,Walt Brown United Citizens_Pct,Ralph Nader Unaffiliated_Votes,Ralph Nader Unaffiliated_Pct,Total_Votes,Winner,Winner_Pct
Alabama,St__Clair__AL,5456,18.71,23500,80.59,205,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29161,Republican,80.59
Alabama,Sumter__AL,4527,70.37,1880,29.22,26,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6433,Democrat,70.37
Alabama,Talladega__AL,11374,38.04,18331,61.31,193,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29898,Republican,61.31
Alabama,Tallapoosa__AL,5451,30.36,12392,69.03,109,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17952,Republican,69.03
Alabama,Tuscaloosa__AL,26447,37.87,42877,61.4,506,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69830,Republican,61.4
Alabama,Walker__AL,9016,31.78,19167,67.57,184,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28367,Republican,67.57
Alabama,Washington__AL,3145,38.14,5060,61.36,42,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8247,Republican,61.36
Alabama,Wilcox__AL,3838,67.55,1834,32.28,10,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5682,Democrat,67.55
Alabama,Winston__AL,2236,21.45,8130,78.0,57,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10423,Republican,78.0
Arizona,Apache__AZ,15658,64.71,8384,34.65,0,0.0,142,0.59,14,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24198,Democrat,64.71
Arizona,Cochise__AZ,17514,39.27,26556,59.55,0,0.0,318,0.71,207,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44595,Republican,59.55
Arizona,Coconino__AZ,29243,55.82,22526,43.0,0,0.0,377,0.72,245,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52391,Democrat,55.82
Arizona,Gila__AZ,8314,39.82,12343,59.12,0,0.0,155,0.74,65,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20877,Republican,59.12
Arizona,Graham__AZ,3185,29.71,7467,69.65,0,0.0,66,0.62,2,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10720,Republican,69.65
Arizona,Greenlee__AZ,1146,37.37,1899,61.92,0,0.0,19,0.62,3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3067,Republican,61.92
Arizona,La_Paz__AZ,1849,36.55,3158,62.42,0,0.0,45,0.89,7,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5059,Republican,62.42
Arizona,Maricopa__AZ,504849,42.25,679455,56.86,0,0.0,6776,0.57,3881,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1194961,Republican,56.86
Arizona,Mohave__AZ,20503,35.4,36794,63.53,0,0.0,393,0.68,225,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57915,Republican,63.53
Arizona,Navajo__AZ,14815,45.72,17277,53.32,0,0.0,224,0.69,88,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32404,Republican,53.32
Arizona,Pima__AZ,193128,52.55,171109,46.56,0,0.0,2109,0.57,1146,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367492,Democrat,52.55
Arizona,Pinal__AZ,27252,42.17,37006,57.27,0,0.0,333,0.52,31,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64622,Republican,57.27
Arizona,Santa_Cruz__AZ,6909,59.11,4668,39.93,0,0.0,80,0.68,32,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11689,Democrat,59.11
Arizona,Yavapai__AZ,33127,37.82,53468,61.05,0,0.0,612,0.7,376,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87583,Republican,61.05
Arizona,Yuma__AZ,16032,41.61,22184,57.58,0,0.0,207,0.54,106,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38529,Republican,57.58
Arkansas,Arkansas__AR,3110,44.77,3789,54.55,47,0.68,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6946,Republican,54.55
Arkansas,Ashley__AR,3881,45.59,4567,53.65,64,0.76,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8512,Republican,53.65
Arkansas,Baxter__AR,7129,38.47,11128,60.05,273,1.47,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18530,Republican,60.05
Arkansas,Benton__AR,20756,30.47,46571,68.37,794,1.17,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68121,Republican,68.37
Arkansas,Boone__AR,4640,31.4,9793,66.27,344,2.32,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14777,Republican,66.27
Arkansas,Bradley__AR,2206,51.92,2011,47.33,32,0.75,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249,Democrat,51.92
Arkansas,Calhoun__AR,939,40.84,1340,58.29,20,0.86,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299,Republican,58.29
Arkansas,Carroll__AR,4161,39.7,6184,59.0,136,1.3,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10481,Republican,59.0
Arkansas,Chicot__AR,2993,62.92,1725,36.26,39,0.82,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4757,Democrat,62.92
Arkansas,Clark__AR,4990,54.17,4144,44.99,77,0.84,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9211,Democrat,54.17
Arkansas,Clay__AR,3264,53.54,2759,45.26,73,1.2,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6096,Democrat,53.54
Arkansas,Cleburne__AR,4517,38.41,7107,60.43,137,1.16,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11761,Republican,60.43
Arkansas,Cleveland__AR,1450,41.48,2009,57.47,37,1.06,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3496,Republican,57.47
Arkansas,Columbia__AR,4108,41.46,5729,57.82,72,0.72,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9909,Republican,57.82
Arkansas,Conway__AR,3982,49.26,4009,49.59,93,1.15,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8084,Republican,49.59
Arkansas,Craighead__AR,13665,45.85,15818,53.08,318,1.07,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29801,Republican,53.08
Arkansas,Crawford__AR,6764,33.16,13391,65.64,246,1.2,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401,Republican,65.64
Arkansas,Crittenden__AR,8277,54.1,6930,45.29,93,0.61,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15300,Democrat,54.1
Arkansas,Cross__AR,3135,44.32,3864,54.62,75,1.06,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7074,Republican,54.62
Arkansas,Dallas__AR,1671,49.32,1700,50.18,17,0.5,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3388,Republican,50.18
Arkansas,Desha__AR,2851,61.35,1729,37.21,67,1.45,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4647,Democrat,61.35
Arkansas,Drew__AR,2952,47.24,3262,52.2,35,0.56,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249,Republican,52.2
Arkansas,Faulkner__AR,14538,39.63,21514,58.64,634,1.73,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36686,Republican,58.64
Arkansas,Franklin__AR,3008,41.27,4181,57.36,100,1.37,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7289,Republican,57.36
Arkansas,Fulton__AR,2370,47.83,2522,50.9,63,1.27,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4955,Republican,50.9
Arkansas,Garland__AR,18040,44.93,21734,54.13,380,0.95,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40154,Republican,54.13
Arkansas,Grant__AR,2524,37.28,4205,62.11,41,0.61,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6770,Republican,62.11
Arkansas,Greene__AR,6564,47.04,7237,51.86,154,1.1,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13955,Republican,51.86
Arkansas,Hempstead__AR,3817,51.22,3580,48.04,55,0.74,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7452,Democrat,51.22
Arkansas,Hot_Spring__AR,5901,48.91,5960,49.4,204,1.69,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12065,Republican,49.4
Arkansas,Howard__AR,2166,43.82,2736,55.35,41,0.83,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4943,Republican,55.35
Arkansas,Independence__AR,5443,41.83,7430,57.11,138,1.06,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13011,Republican,57.11
Arkansas,Izard__AR,2586,47.08,2833,51.57,74,1.35,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5493,Republican,51.57
Arkansas,Jackson__AR,3515,56.52,2624,42.19,80,1.29,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6219,Democrat,56.52
Arkansas,Jefferson__AR,19675,64.52,10218,33.51,600,1.97,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30493,Democrat,64.52
Arkansas,Johnson__AR,3622,45.03,4311,53.59,111,1.38,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8044,Republican,53.59
Arkansas,Lafayette__AR,1567,48.11,1604,50.27,20,0.63,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3191,Republican,50.27
Arkansas,Lawrence__AR,3544,53.58,2951,44.61,120,1.81,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6615,Democrat,53.58
Arkansas,Lee__AR,2548,62.45,1492,36.57,40,0.98,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4080,Democrat,62.45
Arkansas,Lincoln__AR,2149,52.3,1921,46.75,39,0.95,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4109,Democrat,52.3
Arkansas,Little_River__AR,2677,50.57,2575,48.64,42,0.8,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5294,Democrat,50.57
Arkansas,Logan__AR,3361,39.31,5076,59.36,114,1.33,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8551,Republican,59.36
Arkansas,Lonoke__AR,7454,33.84,14398,65.36,178,0.8,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22030,Republican,65.36
Arkansas,Madison__AR,2421,37.92,3873,60.67,90,1.41,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6384,Republican,60.67
Arkansas,Marion__AR,2602,37.89,4127,60.1,138,2.01,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6867,Republican,60.1
Arkansas,Miller__AR,6139,41.82,8448,57.56,91,0.62,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14678,Republican,57.56
Arkansas,Mississippi__AR,7593,53.65,6121,43.25,439,3.11,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14153,Democrat,53.65
Arkansas,Monroe__AR,2049,55.88,1586,43.25,32,0.87,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3667,Democrat,55.88
Arkansas,Montgomery__AR,1524,38.5,2367,59.8,67,1.69,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3958,Republican,59.8
Arkansas,Nevada__AR,1694,48.72,1752,50.39,31,0.89,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3477,Republican,50.39
Arkansas,Newton__AR,1506,34.4,2779,63.48,93,2.11,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4378,Republican,63.48
Arkansas,Ouachita__AR,5188,48.71,5345,50.19,117,1.09,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10650,Republican,50.19
Arkansas,Perry__AR,1921,43.35,2435,54.95,75,1.69,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4431,Republican,54.95
Arkansas,Phillips__AR,5642,63.62,3161,35.65,65,0.73,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8868,Democrat,63.62
Arkansas,Pike__AR,1310,38.91,2013,59.79,44,1.3,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3367,Republican,59.79
Arkansas,Poinsett__AR,4069,52.69,3555,46.03,99,1.28,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7723,Democrat,52.69
Arkansas,Polk__AR,2473,31.71,5192,66.57,134,1.72,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7799,Republican,66.57
Arkansas,Pope__AR,7100,33.97,13614,65.13,188,0.9,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20902,Republican,65.13
Arkansas,Prairie__AR,1562,43.1,2030,56.02,32,0.88,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3624,Republican,56.02
Arkansas,Pulaski__AR,84532,55.03,67903,44.2,1185,0.77,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153620,Democrat,55.03
Arkansas,Randolph__AR,3412,51.18,3158,47.37,97,1.44,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6667,Democrat,51.18
Arkansas,St__Francis__AR,5684,59.28,3815,39.79,89,0.93,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9588,Democrat,59.28
Arkansas,Saline__AR,14153,35.94,24864,63.15,359,0.92,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39376,Republican,63.15
Arkansas,Scott__AR,1473,36.48,2514,62.26,51,1.26,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4038,Republican,62.26
Arkansas,Searcy__AR,1370,34.32,2565,64.25,57,1.44,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3992,Republican,64.25
Arkansas,Sebastian__AR,16479,37.27,27303,61.76,429,0.97,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44211,Republican,61.76
Arkansas,Sevier__AR,2035,44.23,2516,54.68,50,1.08,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4601,Republican,54.68
Arkansas,Sharp__AR,3265,43.71,4097,54.85,108,1.45,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7470,Republican,54.85
