State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Miscellaneous_Votes,Miscellaneous_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Geneva__AL,4748,49.31,4859,50.47,21,0.22,9628,Republican,50.47
Alabama,Greene__AL,3480,76.69,1057,23.29,1,0.02,4538,Democrat,76.69
Alabama,Hale__AL,3807,63.67,2165,36.21,7,0.12,5979,Democrat,63.67
Alabama,Henry__AL,3002,51.06,2857,48.6,20,0.34,5879,Democrat,51.06
Alabama,Houston__AL,7952,34.22,15200,65.41,86,0.37,23238,Republican,65.41
Alabama,Jackson__AL,8961,63.09,5229,36.82,13,0.09,14203,Democrat,63.09
Alabama,Jefferson__AL,117123,45.13,139364,53.7,3025,1.17,259512,Republican,53.7
Alabama,Lamar__AL,3371,54.49,2809,45.41,6,0.1,6186,Democrat,54.49
Alabama,Lauderdale__AL,15742,57.78,11394,41.82,107,0.39,27243,Democrat,57.78
Alabama,Lawrence__AL,6142,70.26,2574,29.44,26,0.3,8742,Democrat,70.26
Alabama,Lee__AL,9896,45.04,12046,54.82,30,0.14,21972,Republican,54.82
Alabama,Limestone__AL,8438,63.05,4929,36.83,17,0.13,13384,Democrat,63.05
Alabama,Lowndes__AL,3749,70.35,1566,29.39,14,0.26,5329,Democrat,70.35
Alabama,Macon__AL,7394,84.27,1333,15.19,47,0.54,8774,Democrat,84.27
Alabama,Madison__AL,31182,47.92,33750,51.87,140,0.22,65072,Republican,51.87
Alabama,Marengo__AL,5433,56.24,4196,43.44,31,0.32,9660,Democrat,56.24
Alabama,Marion__AL,5453,50.78,5271,49.09,14,0.13,10738,Democrat,50.78
Alabama,Marshall__AL,11108,55.73,8804,44.17,21,0.11,19933,Democrat,55.73
Alabama,Mobile__AL,46743,39.95,69747,59.62,502,0.43,116992,Republican,59.62
Alabama,Monroe__AL,4313,47.54,4729,52.13,30,0.33,9072,Republican,52.13
Alabama,Montgomery__AL,29167,43.86,37233,55.99,104,0.16,66504,Republican,55.99
Alabama,Morgan__AL,15000,51.25,14115,48.22,156,0.53,29271,Democrat,51.25
Alabama,Perry__AL,4215,64.63,2303,35.31,4,0.06,6522,Democrat,64.63
Alabama,Pickens__AL,4513,55.16,3665,44.79,4,0.05,8182,Democrat,55.16
Alabama,Pike__AL,4575,45.79,5377,53.82,39,0.39,9991,Republican,53.82
Alabama,Randolph__AL,3547,50,3505,49.41,42,0.59,7094,Democrat,50
Alabama,Russell__AL,8645,64.04,4835,35.81,20,0.15,13500,Democrat,64.04
Alabama,Shelby__AL,7579,32.57,15654,67.28,34,0.15,23267,Republican,67.28
Alabama,St__Clair__AL,5426,39.74,8211,60.14,17,0.12,13654,Republican,60.14
Alabama,Sumter__AL,5023,69.77,2165,30.07,11,0.15,7199,Democrat,69.77
Alabama,Talladega__AL,10258,49.7,10195,49.39,188,0.91,20641,Democrat,49.7
Alabama,Tallapoosa__AL,7421,54.55,6142,45.15,40,0.29,13603,Democrat,54.55
Alabama,Tuscaloosa__AL,19685,48.34,20936,51.41,99,0.24,40720,Republican,51.41
Alabama,Walker__AL,13712,60.07,9029,39.55,87,0.38,22828,Democrat,60.07
Alabama,Washington__AL,3522,53.16,3100,46.79,3,0.05,6625,Democrat,53.16
Alabama,Wilcox__AL,4958,68.28,2301,31.69,2,0.03,7261,Democrat,68.28
Alabama,Winston__AL,3373,39.98,5040,59.74,23,0.27,8436,Republican,59.74
Arizona,Apache__AZ,3917,36.97,6642,62.69,36,0.34,10595,Republican,62.69
Arizona,Cochise__AZ,7028,31.31,15382,68.53,35,0.16,22445,Republican,68.53
Arizona,Coconino__AZ,7832,29.89,18289,69.81,78,0.3,26199,Republican,69.81
Arizona,Gila__AZ,5068,37.82,8320,62.09,11,0.08,13399,Republican,62.09
Arizona,Graham__AZ,2801,35.18,5154,64.74,6,0.08,7961,Republican,64.74
Arizona,Greenlee__AZ,2043,54.02,1735,45.88,4,0.11,3782,Democrat,54.02
Arizona,Maricopa__AZ,119752,24.6,366087,75.2,995,0.2,486834,Republican,75.2
Arizona,Mohave__AZ,4900,24.43,15129,75.44,25,0.12,20054,Republican,75.44
Arizona,Navajo__AZ,5110,30.27,11748,69.59,24,0.14,16882,Republican,69.59
Arizona,Pima__AZ,64418,34.44,122293,65.38,346,0.18,187057,Republican,65.38
Arizona,Pinal__AZ,9207,39.59,14013,60.25,38,0.16,23258,Republican,60.25
Arizona,Santa_Cruz__AZ,2089,39.12,3232,60.52,19,0.36,5340,Republican,60.52
Arizona,Yavapai__AZ,6664,22.98,22288,76.87,42,0.14,28994,Republican,76.87
Arizona,Yuma__AZ,6014,28.44,15112,71.47,19,0.09,21145,Republican,71.47
Arkansas,Arkansas__AR,4303,53.89,3618,45.31,64,0.8,7985,Democrat,53.89
Arkansas,Ashley__AR,4552,52.03,4135,47.27,61,0.7,8748,Democrat,52.03
Arkansas,Baxter__AR,4789,31.62,10310,68.07,48,0.32,15147,Republican,68.07
Arkansas,Benton__AR,9231,31.36,20151,68.45,58,0.2,29440,Republican,68.45
Arkansas,Boone__AR,4576,37.86,7366,60.94,146,1.21,12088,Republican,60.94
Arkansas,Bradley__AR,3139,64.19,1740,35.58,11,0.22,4890,Democrat,64.19
Arkansas,Calhoun__AR,1438,60.02,957,39.94,1,0.04,2396,Democrat,60.02
Arkansas,Carroll__AR,2977,38.52,4706,60.9,45,0.58,7728,Republican,60.9
Arkansas,Chicot__AR,3445,59.64,2329,40.32,2,0.03,5776,Democrat,59.64
Arkansas,Clark__AR,6122,66.89,3017,32.96,14,0.15,9153,Democrat,66.89
Arkansas,Clay__AR,3985,54.37,3338,45.54,7,0.1,7330,Democrat,54.37
Arkansas,Cleburne__AR,4021,48.13,4328,51.8,6,0.07,8355,Republican,51.8
Arkansas,Cleveland__AR,1856,60.69,1193,39.01,9,0.29,3058,Democrat,60.69
Arkansas,Columbia__AR,4445,44.6,5497,55.15,25,0.25,9967,Republican,55.15
Arkansas,Conway__AR,4698,51.13,4479,48.74,12,0.13,9189,Democrat,51.13
Arkansas,Craighead__AR,9231,43.02,12001,55.93,224,1.04,21456,Republican,55.93
Arkansas,Crawford__AR,3948,30.61,8918,69.14,33,0.26,12899,Republican,69.14
Arkansas,Crittenden__AR,7022,50.8,6657,48.16,144,1.04,13823,Democrat,50.8
Arkansas,Cross__AR,3471,53.47,3019,46.5,2,0.03,6492,Democrat,53.47
Arkansas,Dallas__AR,2838,62.52,1695,37.34,6,0.13,4539,Democrat,62.52
Arkansas,Desha__AR,3748,62.08,2181,36.13,108,1.79,6037,Democrat,62.08
Arkansas,Drew__AR,3757,60.75,2421,39.15,6,0.1,6184,Democrat,60.75
Arkansas,Faulkner__AR,8528,49.95,8494,49.75,51,0.3,17073,Democrat,49.95
Arkansas,Franklin__AR,2716,42.27,3706,57.67,4,0.06,6426,Republican,57.67
Arkansas,Fulton__AR,2037,47.85,2214,52.01,6,0.14,4257,Republican,52.01
Arkansas,Garland__AR,12515,42.11,17031,57.31,171,0.58,29717,Republican,57.31
Arkansas,Grant__AR,3078,58.34,2164,41.02,34,0.64,5276,Democrat,58.34
Arkansas,Greene__AR,5996,55.31,4839,44.64,6,0.06,10841,Democrat,55.31
Arkansas,Hempstead__AR,4671,54.14,3955,45.84,2,0.02,8628,Democrat,54.14
Arkansas,Hot_Spring__AR,6897,63.76,3892,35.98,28,0.26,10817,Democrat,63.76
Arkansas,Howard__AR,2564,50.63,2477,48.91,23,0.45,5064,Democrat,50.63
Arkansas,Independence__AR,5683,51.08,5421,48.73,21,0.19,11125,Democrat,51.08
Arkansas,Izard__AR,2750,52.34,2480,47.2,24,0.46,5254,Democrat,52.34
Arkansas,Jackson__AR,4651,57.55,3416,42.27,14,0.17,8081,Democrat,57.55
Arkansas,Jefferson__AR,17292,57.55,12124,40.35,630,2.1,30046,Democrat,57.55
Arkansas,Johnson__AR,3709,48.57,3899,51.06,28,0.37,7636,Republican,51.06
Arkansas,Lafayette__AR,1947,51.56,1824,48.31,5,0.13,3776,Democrat,51.56
Arkansas,Lawrence__AR,3547,50.94,3413,49.02,3,0.04,6963,Democrat,50.94
Arkansas,Lee__AR,3103,63.64,1770,36.3,3,0.06,4876,Democrat,63.64
Arkansas,Lincoln__AR,2517,65.39,1329,34.53,3,0.08,3849,Democrat,65.39
Arkansas,Little_River__AR,2631,52.37,2356,46.89,37,0.74,5024,Democrat,52.37
Arkansas,Logan__AR,4098,45.98,4794,53.79,21,0.24,8913,Republican,53.79
Arkansas,Lonoke__AR,5605,48.38,5949,51.35,31,0.27,11585,Republican,51.35
Arkansas,Madison__AR,2434,41.71,3381,57.94,20,0.34,5835,Republican,57.94
Arkansas,Marion__AR,2046,38.2,3303,61.67,7,0.13,5356,Republican,61.67
Arkansas,Miller__AR,5996,46.41,6915,53.52,10,0.08,12921,Republican,53.52
Arkansas,Mississippi__AR,8908,54.26,7492,45.64,17,0.1,16417,Democrat,54.26
Arkansas,Monroe__AR,2686,55.62,2137,44.25,6,0.12,4829,Democrat,55.62
Arkansas,Montgomery__AR,1878,51.99,1709,47.31,25,0.69,3612,Democrat,51.99
Arkansas,Nevada__AR,2631,59.26,1793,40.38,16,0.36,4440,Democrat,59.26
Arkansas,Newton__AR,1436,35.61,2580,63.97,17,0.42,4033,Republican,63.97
Arkansas,Ouachita__AR,7152,58.58,4687,38.39,369,3.02,12208,Democrat,58.58
Arkansas,Perry__AR,1606,50.41,1575,49.44,5,0.16,3186,Democrat,50.41
Arkansas,Phillips__AR,6642,59.59,4477,40.17,27,0.24,11146,Democrat,59.59
Arkansas,Pike__AR,2094,51.11,1997,48.74,6,0.15,4097,Democrat,51.11
Arkansas,Poinsett__AR,4894,53.31,4276,46.58,10,0.11,9180,Democrat,53.31
Arkansas,Polk__AR,2617,38.35,4201,61.56,6,0.09,6824,Republican,61.56
Arkansas,Pope__AR,6364,44.72,7841,55.1,25,0.18,14230,Republican,55.1
Arkansas,Prairie__AR,1928,49.5,1954,50.17,13,0.33,3895,Republican,50.17
Arkansas,Pulaski__AR,54839,48.56,57785,51.17,313,0.28,112937,Republican,51.17
Arkansas,Randolph__AR,3070,51.78,2848,48.04,11,0.19,5929,Democrat,51.78
Arkansas,St__Francis__AR,5816,55.46,4668,44.51,3,0.03,10487,Democrat,55.46
Arkansas,Saline__AR,10368,53.02,9164,46.86,23,0.12,19555,Democrat,53.02
Arkansas,Scott__AR,2236,48.34,2380,51.45,10,0.22,4626,Republican,51.45
Arkansas,Searcy__AR,1536,36.72,2630,62.87,17,0.41,4183,Republican,62.87
Arkansas,Sebastian__AR,10141,27.5,25328,68.68,1410,3.82,36879,Republican,68.68
Arkansas,Sevier__AR,2854,51.92,2638,47.99,5,0.09,5497,Democrat,51.92
Arkansas,Sharp__AR,2774,43.24,3636,56.67,6,0.09,6416,Republican,56.67
Arkansas,Stone__AR,1968,49.51,1992,50.11,15,0.38,3975,Republican,50.11
Arkansas,Union__AR,6852,40.16,10051,58.91,160,0.94,17063,Republican,58.91
Arkansas,Van_Buren__AR,2968,47.17,3310,52.61,14,0.22,6292,Republican,52.61
Arkansas,Washington__AR,12276,34.66,23010,64.96,135,0.38,35421,Republican,64.96
Arkansas,White__AR,8750,50.54,8513,49.17,50,0.29,17313,Democrat,50.54
Arkansas,Woodruff__AR,2452,65.28,1299,34.58,5,0.13,3756,Democrat,65.28
Arkansas,Yell__AR,3702,51.87,3429,48.05,6,0.08,7137,Democrat,51.87
California,Alameda__CA,201720,48.3,199365,47.74,16532,3.96,417617,Democrat,48.3
California,Alpine__CA,133,28.85,304,65.94,24,5.21,461,Republican,65.94
California,Amador__CA,3191,33,6189,64,290,3,9670,Republican,64
California,Butte__CA,19520,29.57,44296,67.1,2196,3.33,66012,Republican,67.1
California,Calaveras__CA,3076,29.94,6830,66.47,369,3.59,10275,Republican,66.47
California,Colusa__CA,1605,32.13,3222,64.5,168,3.36,4995,Republican,64.5
California,Contra_Costa__CA,107398,37.35,172321,59.93,7826,2.72,287545,Republican,59.93
California,Del_Norte__CA,2338,33.46,4502,64.43,147,2.1,6987,Republican,64.43
California,El_Dorado__CA,10765,29.53,24525,67.29,1159,3.18,36449,Republican,67.29
California,Fresno__CA,65254,40.43,93242,57.78,2890,1.79,161386,Republican,57.78
California,Glenn__CA,2227,26.79,5923,71.26,162,1.95,8312,Republican,71.26
California,Humboldt__CA,17113,35.15,29487,60.56,2092,4.3,48692,Republican,60.56
California,Imperial__CA,7961,36.89,13271,61.5,347,1.61,21579,Republican,61.5
California,Inyo__CA,2080,25.91,5716,71.21,231,2.88,8027,Republican,71.21
California,Kern__CA,41097,33.65,78641,64.4,2383,1.95,122121,Republican,64.4
California,Kings__CA,7299,38.37,11432,60.1,290,1.52,19021,Republican,60.1
California,Lake__CA,5978,35.9,10091,60.59,585,3.51,16654,Republican,60.59
California,Lassen__CA,2941,35.87,5007,61.08,250,3.05,8198,Republican,61.08
California,Los_Angeles__CA,979830,40.15,1400415,57.39,59940,2.46,2440185,Republican,57.39
California,Madera__CA,7783,39.35,11612,58.71,385,1.95,19780,Republican,58.71
California,Marin__CA,39231,36.16,63483,58.51,5793,5.34,108507,Republican,58.51
California,Mariposa__CA,1889,33.68,3540,63.12,179,3.19,5608,Republican,63.12
California,Mendocino__CA,10784,38.21,15179,53.78,2261,8.01,28224,Republican,53.78
California,Merced__CA,15886,42.94,20359,55.03,751,2.03,36996,Republican,55.03
California,Modoc__CA,1046,26.15,2872,71.8,82,2.05,4000,Republican,71.8
California,Mono__CA,865,25.29,2434,71.15,122,3.57,3421,Republican,71.15
California,Monterey__CA,29086,33.51,55460,63.9,2248,2.59,86794,Republican,63.9
California,Napa__CA,14898,33.83,27850,63.25,1287,2.92,44035,Republican,63.25
California,Nevada__CA,7605,28.96,17442,66.42,1214,4.62,26261,Republican,66.42
California,Orange__CA,176704,22.65,585096,74.99,18412,2.36,780212,Republican,74.99
California,Placer__CA,17311,33.65,32535,63.25,1594,3.1,51440,Republican,63.25
California,Plumas__CA,2911,35.67,4965,60.84,285,3.49,8161,Republican,60.84
California,Riverside__CA,76650,31.51,162004,66.59,4624,1.9,243278,Republican,66.59
California,Sacramento__CA,130031,40.37,183376,56.93,8713,2.7,322120,Republican,56.93
California,San_Benito__CA,2749,36.16,4606,60.59,247,3.25,7602,Republican,60.59
California,San_Bernardino__CA,91790,31.67,192063,66.27,5959,2.06,289812,Republican,66.27
California,San_Diego__CA,195410,27.26,503401,70.22,18055,2.52,716866,Republican,70.22
California,San_Francisco__CA,133184,52.43,110332,43.43,10512,4.14,254028,Democrat,52.43
California,San_Joaquin__CA,41551,35.56,73134,62.58,2178,1.86,116863,Republican,62.58
California,San_Luis_Obispo__CA,20508,29.5,47038,67.65,1981,2.85,69527,Republican,67.65
California,San_Mateo__CA,87335,36.6,144476,60.54,6826,2.86,238637,Republican,60.54
California,Santa_Barbara__CA,40650,31.51,84415,65.44,3930,3.05,128995,Republican,65.44
California,Santa_Clara__CA,166995,35.01,294529,61.75,15479,3.25,477003,Republican,61.75
California,Santa_Cruz__CA,32346,37.7,47937,55.87,5521,6.43,85804,Republican,55.87
California,Shasta__CA,15364,32.4,30767,64.88,1287,2.71,47418,Republican,64.88
California,Sierra__CA,651,37.89,1011,58.85,56,3.26,1718,Republican,58.85
California,Siskiyou__CA,5664,33.84,10600,63.33,474,2.83,16738,Republican,63.33
California,Solano__CA,30952,38.37,47632,59.04,2092,2.59,80676,Republican,59.04
California,Sonoma__CA,45596,36.19,74790,59.36,5599,4.44,125985,Republican,59.36
California,Stanislaus__CA,33683,40.01,48729,57.88,1774,2.11,84186,Republican,57.88
California,Sutter__CA,5103,27.5,12867,69.34,587,3.16,18557,Republican,69.34
California,Tehama__CA,4832,31.26,10154,65.69,471,3.05,15457,Republican,65.69
California,Trinity__CA,1734,31.27,3554,64.08,258,4.65,5546,Republican,64.08
California,Tulare__CA,25155,35.51,44561,62.9,1130,1.6,70846,Republican,62.9
California,Tuolumne__CA,5449,33.92,10200,63.5,414,2.58,16063,Republican,63.5
California,Ventura__CA,56311,29.54,129817,68.09,4522,2.37,190650,Republican,68.09
California,Yolo__CA,21527,43.32,26272,52.87,1891,3.81,49690,Republican,52.87
California,Yuba__CA,4896,34.7,8820,62.5,395,2.8,14111,Republican,62.5
Colorado,Adams__CO,31357,36.9,53302,62.73,316,0.37,84975,Republican,62.73
Colorado,Alamosa__CO,1821,37.72,2986,61.85,21,0.43,4828,Republican,61.85
Colorado,Arapahoe__CO,30148,23.56,97230,75.97,602,0.47,127980,Republican,75.97
Colorado,Archuleta__CO,532,28,1365,71.84,3,0.16,1900,Republican,71.84
Colorado,Baca__CO,551,20.47,2140,79.49,1,0.04,2692,Republican,79.49
Colorado,Bent__CO,894,38.37,1412,60.6,24,1.03,2330,Republican,60.6
Colorado,Boulder__CO,28422,32.64,57040,65.51,1607,1.85,87069,Republican,65.51
Colorado,Chaffee__CO,1583,28.9,3861,70.48,34,0.62,5478,Republican,70.48
Colorado,Cheyenne__CO,322,25.99,911,73.53,6,0.48,1239,Republican,73.53
Colorado,Clear_Creek__CO,837,26.38,2312,72.86,24,0.76,3173,Republican,72.86
Colorado,Conejos__CO,1503,46.5,1727,53.43,2,0.06,3232,Republican,53.43
Colorado,Costilla__CO,1036,65.45,542,34.24,5,0.32,1583,Democrat,65.45
Colorado,Crowley__CO,472,32.04,1000,67.89,1,0.07,1473,Republican,67.89
Colorado,Custer__CO,231,22.87,774,76.63,5,0.5,1010,Republican,76.63
Colorado,Delta__CO,2348,25.45,6794,73.63,85,0.92,9227,Republican,73.63
Colorado,Denver__CO,85903,41,121443,57.97,2162,1.03,209508,Republican,57.97
Colorado,Dolores__CO,157,19.22,659,80.66,1,0.12,817,Republican,80.66
Colorado,Douglas__CO,2108,18.18,9450,81.49,38,0.33,11596,Republican,81.49
Colorado,Eagle__CO,1608,27.65,4160,71.53,48,0.83,5816,Republican,71.53
Colorado,El_Paso__CO,27463,26.41,76127,73.21,400,0.38,103990,Republican,73.21
Colorado,Elbert__CO,698,22.36,2419,77.48,5,0.16,3122,Republican,77.48
Colorado,Fremont__CO,3952,32.63,8092,66.8,69,0.57,12113,Republican,66.8
Colorado,Garfield__CO,2639,28.3,6620,70.99,66,0.71,9325,Republican,70.99
Colorado,Gilpin__CO,441,31.8,924,66.62,22,1.59,1387,Republican,66.62
Colorado,Grand__CO,820,23.56,2648,76.07,13,0.37,3481,Republican,76.07
Colorado,Gunnison__CO,1297,26.1,3595,72.33,78,1.57,4970,Republican,72.33
Colorado,Hinsdale__CO,76,22.62,257,76.49,3,0.89,336,Republican,76.49
Colorado,Huerfano__CO,1574,51.91,1426,47.03,32,1.06,3032,Democrat,51.91
Colorado,Jackson__CO,283,26.72,774,73.09,2,0.19,1059,Republican,73.09
Colorado,Jefferson__CO,41525,25.54,120467,74.08,619,0.38,162611,Republican,74.08
Colorado,Kiowa__CO,331,28.56,827,71.35,1,0.09,1159,Republican,71.35
Colorado,Kit_Carson__CO,790,21.63,2859,78.26,4,0.11,3653,Republican,78.26
Colorado,La_Plata__CO,3034,24.87,9053,74.2,114,0.93,12201,Republican,74.2
Colorado,Lake__CO,1213,40.1,1784,58.98,28,0.93,3025,Republican,58.98
Colorado,Larimer__CO,17072,26.62,46611,72.68,446,0.7,64129,Republican,72.68
Colorado,Las_Animas__CO,4117,55.57,3285,44.34,7,0.09,7409,Democrat,55.57
Colorado,Lincoln__CO,602,25.39,1767,74.53,2,0.08,2371,Republican,74.53
Colorado,Logan__CO,2332,28.12,5948,71.72,13,0.16,8293,Republican,71.72
Colorado,Mesa__CO,7549,22.93,25272,76.78,95,0.29,32916,Republican,76.78
Colorado,Mineral__CO,125,27.78,325,72.22,0,0,450,Republican,72.22
Colorado,Moffat__CO,1079,21.91,3812,77.4,34,0.69,4925,Republican,77.4
Colorado,Montezuma__CO,1467,24.43,4519,75.24,20,0.33,6006,Republican,75.24
Colorado,Montrose__CO,2232,22.78,7545,76.99,23,0.23,9800,Republican,76.99
Colorado,Morgan__CO,2246,26.95,6038,72.45,50,0.6,8334,Republican,72.45
Colorado,Otero__CO,3294,37.43,5472,62.17,35,0.4,8801,Republican,62.17
Colorado,Ouray__CO,237,19.73,956,79.6,8,0.67,1201,Republican,79.6
Colorado,Park__CO,674,24.64,2038,74.52,23,0.84,2735,Republican,74.52
Colorado,Phillips__CO,640,27.19,1710,72.64,4,0.17,2354,Republican,72.64
Colorado,Pitkin__CO,1760,32.49,3566,65.83,91,1.68,5417,Republican,65.83
Colorado,Prowers__CO,1669,32.02,3512,67.38,31,0.59,5212,Republican,67.38
Colorado,Pueblo__CO,21874,47.1,24457,52.66,110,0.24,46441,Republican,52.66
Colorado,Rio_Blanco__CO,462,17.45,2177,82.24,8,0.3,2647,Republican,82.24
Colorado,Rio_Grande__CO,1370,30.53,3113,69.36,5,0.11,4488,Republican,69.36
Colorado,Routt__CO,1944,29.01,4724,70.49,34,0.51,6702,Republican,70.49
Colorado,Saguache__CO,893,41.83,1236,57.89,6,0.28,2135,Republican,57.89
Colorado,San_Juan__CO,146,26.59,398,72.5,5,0.91,549,Republican,72.5
Colorado,San_Miguel__CO,651,35.99,1126,62.24,32,1.77,1809,Republican,62.24
Colorado,Sedgwick__CO,438,25.64,1266,74.12,4,0.23,1708,Republican,74.12
Colorado,Summit__CO,1285,29.51,3039,69.78,31,0.71,4355,Republican,69.78
Colorado,Teller__CO,802,21.63,2886,77.85,19,0.51,3707,Republican,77.85
Colorado,Washington__CO,568,20.21,2237,79.58,6,0.21,2811,Republican,79.58
Colorado,Weld__CO,11433,28.13,29000,71.35,213,0.52,40646,Republican,71.35
Colorado,Yuma__CO,1043,22.31,3626,77.58,5,0.11,4674,Republican,77.58
Connecticut,Fairfield__CT,124074,33.71,201997,54.88,42027,11.42,368098,Republican,54.88
Connecticut,Hartford__CT,164643,44.33,150265,40.46,56472,15.21,371380,Democrat,44.33
Connecticut,Litchfield__CT,26705,34.98,38725,50.72,10924,14.31,76354,Republican,50.72
Connecticut,Middlesex__CT,24768,38.9,28989,45.53,9915,15.57,63672,Republican,45.53
Connecticut,New_Haven__CT,130913,38.76,169038,50.05,37781,11.19,337732,Republican,50.05
Connecticut,New_London__CT,36628,37.21,47217,47.96,14603,14.83,98448,Republican,47.96
Connecticut,Tolland__CT,18557,36.86,22127,43.95,9662,19.19,50346,Republican,43.95
Connecticut,Windham__CT,15444,39.18,18852,47.82,5123,13,39419,Republican,47.82
Delaware,Kent__DE,12884,43.15,16713,55.97,265,0.89,29862,Republican,55.97
Delaware,New_Castle__DE,76897,45.66,89726,53.27,1804,1.07,168427,Republican,53.27
Delaware,Sussex__DE,15973,42.73,21101,56.45,305,0.82,37379,Republican,56.45
District of Columbia,Washington__DC,132057,75.94,40548,23.32,1284,0.74,173889,Democrat,75.94
Florida,Alachua__FL,26849,52.27,23982,46.69,533,1.04,51364,Democrat,52.27
Florida,Baker__FL,2611,52.47,2339,47.01,26,0.52,4976,Democrat,52.47
Florida,Bay__FL,12389,35.85,21688,62.75,484,1.4,34561,Republican,62.75
Florida,Bradford__FL,3347,53.61,2868,45.94,28,0.45,6243,Democrat,53.61
Florida,Brevard__FL,39007,33.73,75326,65.14,1303,1.13,115636,Republican,65.14
Florida,Broward__FL,146323,35.64,261247,63.63,2991,0.73,410561,Republican,63.63
Florida,Calhoun__FL,2300,59.22,1556,40.06,28,0.72,3884,Democrat,59.22
Florida,Charlotte__FL,9769,30.82,21696,68.44,235,0.74,31700,Republican,68.44
Florida,Citrus__FL,9162,37.5,15073,61.7,195,0.8,24430,Republican,61.7
Florida,Clay__FL,7630,31.63,16335,67.72,157,0.65,24122,Republican,67.72
Florida,Collier__FL,7739,23.02,25578,76.1,296,0.88,33613,Republican,76.1
Florida,Columbia__FL,5680,48.76,5891,50.58,77,0.66,11648,Republican,50.58
Florida,Miami_Dade__FL,210868,40.17,310687,59.19,3350,0.64,524905,Republican,59.19
Florida,DeSoto__FL,2713,43.17,3511,55.86,61,0.97,6285,Republican,55.86
Florida,Dixie__FL,2010,63.35,1146,36.12,17,0.54,3173,Democrat,63.35
Florida,Duval__FL,90466,46.26,103848,53.1,1240,0.63,195554,Republican,53.1
Florida,Escambia__FL,33513,37.84,54428,61.46,618,0.7,88559,Republican,61.46
Florida,Flagler__FL,2503,44.7,3049,54.45,48,0.86,5600,Republican,54.45
Florida,Franklin__FL,1775,52.48,1562,46.19,45,1.33,3382,Democrat,52.48
Florida,Gadsden__FL,8222,67.26,3919,32.06,84,0.69,12225,Democrat,67.26
Florida,Gilchrist__FL,1627,58.25,1149,41.14,17,0.61,2793,Democrat,58.25
Florida,Glades__FL,1203,50.36,1159,48.51,27,1.13,2389,Democrat,50.36
Florida,Gulf__FL,2700,54.81,2188,44.42,38,0.77,4926,Democrat,54.81
Florida,Hamilton__FL,1923,58.63,1341,40.88,16,0.49,3280,Democrat,58.63
