State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Ralph Nader [ 23 ] Independent_Votes,Ralph Nader [ 23 ] Independent_Pct,Charles Baldwin [ 23 ] Constitution_Votes,Charles Baldwin [ 23 ] Constitution_Pct,Bob Barr [ 23 ] Libertarian_Votes,Bob Barr [ 23 ] Libertarian_Pct,Ralph Nader Independent_Votes,Ralph Nader Independent_Pct,Bob Barr Libertarian_Votes,Bob Barr Libertarian_Pct,Cynthia McKinney Green_Votes,Cynthia McKinney Green_Pct,Charles Baldwin Constitution_Votes,Charles Baldwin Constitution_Pct,Ralph Nader Peace_Votes,Ralph Nader Peace_Pct,Cynthia McKinney Pacific Green_Votes,Cynthia McKinney Pacific Green_Pct,Various candidates Write-ins_Votes,Various candidates Write-ins_Pct,Bob Barr Independent_Votes,Bob Barr Independent_Pct,Charles Baldwin [ 24 ] Constitution_Votes,Charles Baldwin [ 24 ] Constitution_Pct,Ralph Nader [ 24 ] Peace and Freedom_Votes,Ralph Nader [ 24 ] Peace and Freedom_Pct,Bob Barr [ 24 ] Libertarian_Votes,Bob Barr [ 24 ] Libertarian_Pct,Various candidates [ 24 ] Other parties_Votes,Various candidates [ 24 ] Other parties_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Pike__AL,5879,42.13,8004,57.36,72,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13955,Republican,57.36
Alabama,Randolph__AL,3064,29.51,7175,69.1,145,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10384,Republican,69.1
Alabama,Russell__AL,10085,53.32,8705,46.02,125,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18915,Democrat,53.32
Alabama,Shelby__AL,20625,22.75,69060,76.19,958,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90643,Republican,76.19
Alabama,St__Clair__AL,6091,17.87,27649,81.11,348,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34088,Republican,81.11
Alabama,Sumter__AL,5264,74.99,1731,24.66,25,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7020,Democrat,74.99
Alabama,Talladega__AL,13779,40.28,20112,58.8,313,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34204,Republican,58.8
Alabama,Tallapoosa__AL,6063,31.4,13116,67.92,132,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19311,Republican,67.92
Alabama,Tuscaloosa__AL,32796,41.56,45405,57.54,711,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78912,Republican,57.54
Alabama,Walker__AL,7420,25.9,20722,72.32,510,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28652,Republican,72.32
Alabama,Washington__AL,3067,34.95,5654,64.43,54,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8775,Republican,64.43
Alabama,Wilcox__AL,4612,71.02,1868,28.77,14,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6494,Democrat,71.02
Alabama,Winston__AL,1757,17.52,8103,80.78,171,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10031,Republican,80.78
Arizona,Apache__AZ,15390,63.19,8551,35.11,414,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24355,Democrat,63.19
Arizona,Cochise__AZ,18943,38.6,29026,59.14,1112,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49081,Republican,59.14
Arizona,Coconino__AZ,31433,57.59,22186,40.65,964,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54583,Democrat,57.59
Arizona,Gila__AZ,7884,35.17,14095,62.88,438,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22417,Republican,62.88
Arizona,Graham__AZ,3487,28.89,8376,69.4,206,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12069,Republican,69.4
Arizona,Greenlee__AZ,1165,39.9,1712,58.63,43,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2920,Republican,58.63
Arizona,La_Paz__AZ,1929,34.59,3509,62.92,139,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5577,Republican,62.92
Arizona,Maricopa__AZ,602166,43.91,746448,54.43,22756,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1371370,Republican,54.43
Arizona,Mohave__AZ,22092,32.49,44333,65.2,1570,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67995,Republican,65.2
Arizona,Navajo__AZ,15579,43.36,19761,55,592,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35932,Republican,55
Arizona,Pima__AZ,206254,52.24,182406,46.2,6180,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394840,Democrat,52.24
Arizona,Pinal__AZ,44254,41.99,59421,56.38,1723,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105398,Republican,56.38
Arizona,Santa_Cruz__AZ,8683,65.07,4518,33.86,143,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13344,Democrat,65.07
Arizona,Yavapai__AZ,36889,36.82,61192,61.08,2104,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100185,Republican,61.08
Arizona,Yuma__AZ,18559,42.4,24577,56.15,636,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43772,Republican,56.15
Arkansas,Arkansas__AR,2619,37.53,4185,59.97,174,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6978,Republican,59.97
Arkansas,Ashley__AR,2976,34.44,5406,62.55,260,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8642,Republican,62.55
Arkansas,Baxter__AR,6539,32.73,12852,64.32,590,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19981,Republican,64.32
Arkansas,Benton__AR,23331,30.67,51124,67.2,1618,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76073,Republican,67.2
Arkansas,Boone__AR,4435,28.66,10575,68.34,464,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15474,Republican,68.34
Arkansas,Bradley__AR,1680,41.57,2262,55.98,99,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4041,Republican,55.98
Arkansas,Calhoun__AR,691,31.17,1462,65.94,64,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2217,Republican,65.94
Arkansas,Carroll__AR,4172,39.44,6083,57.5,324,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10579,Republican,57.5
Arkansas,Chicot__AR,3043,58.43,2119,40.69,46,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5208,Democrat,58.43
Arkansas,Clark__AR,4267,46.92,4608,50.67,219,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9094,Republican,50.67
Arkansas,Clay__AR,2244,40.72,3032,55.02,235,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5511,Republican,55.02
Arkansas,Cleburne__AR,2951,26.03,7962,70.22,425,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11338,Republican,70.22
Arkansas,Cleveland__AR,911,25.99,2451,69.93,143,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3505,Republican,69.93
Arkansas,Columbia__AR,3554,37.18,5861,61.32,143,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9558,Republican,61.32
Arkansas,Conway__AR,3149,38.7,4691,57.64,298,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8138,Republican,57.64
Arkansas,Craighead__AR,11294,36.47,18881,60.97,793,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30968,Republican,60.97
Arkansas,Crawford__AR,5238,25.51,14688,71.54,606,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20532,Republican,71.54
Arkansas,Crittenden__AR,10330,56.59,7650,41.91,275,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18255,Democrat,56.59
Arkansas,Cross__AR,2580,36.19,4393,61.61,157,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7130,Republican,61.61
Arkansas,Dallas__AR,1471,44.33,1757,52.95,90,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3318,Republican,52.95
Arkansas,Desha__AR,2569,54.92,1999,42.73,110,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4678,Democrat,54.92
Arkansas,Drew__AR,2598,39.3,3860,58.4,152,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6610,Republican,58.4
Arkansas,Faulkner__AR,14955,36.32,25362,61.59,862,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41179,Republican,61.59
Arkansas,Franklin__AR,1869,28.86,4411,68.12,195,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6475,Republican,68.12
Arkansas,Fulton__AR,1819,38.9,2702,57.78,155,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4676,Republican,57.78
Arkansas,Garland__AR,15899,36.37,26825,61.36,995,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43719,Republican,61.36
Arkansas,Grant__AR,1562,22.99,5023,73.94,208,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6793,Republican,73.94
Arkansas,Greene__AR,4541,33.36,8578,63.02,493,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13612,Republican,63.02
Arkansas,Hempstead__AR,2869,39.04,4273,58.14,207,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7349,Republican,58.14
Arkansas,Hot_Spring__AR,4288,35.87,7209,60.3,458,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11955,Republican,60.3
Arkansas,Howard__AR,1746,36.03,2957,61.02,143,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4846,Republican,61.02
Arkansas,Independence__AR,3688,29.99,8255,67.12,356,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12299,Republican,67.12
Arkansas,Izard__AR,1792,34.34,3193,61.19,233,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5218,Republican,61.19
Arkansas,Jackson__AR,2207,39.54,3118,55.86,257,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5582,Republican,55.86
Arkansas,Jefferson__AR,18465,62.19,10655,35.89,569,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29689,Democrat,62.19
Arkansas,Johnson__AR,3034,37.09,4922,60.17,224,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8180,Republican,60.17
Arkansas,Lafayette__AR,1133,39.04,1685,58.06,84,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2902,Republican,58.06
Arkansas,Lawrence__AR,2138,36.67,3357,57.58,335,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5830,Republican,57.58
Arkansas,Lee__AR,2263,60.14,1454,38.64,46,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3763,Democrat,60.14
Arkansas,Lincoln__AR,1710,38.81,2513,57.04,183,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4406,Republican,57.04
Arkansas,Little_River__AR,1753,34.03,3247,63.02,152,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5152,Republican,63.02
Arkansas,Logan__AR,2286,28.91,5350,67.66,271,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7907,Republican,67.66
Arkansas,Lonoke__AR,5968,25.14,17242,72.63,531,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23741,Republican,72.63
Arkansas,Madison__AR,2144,33.88,3972,62.77,212,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6328,Republican,62.77
Arkansas,Marion__AR,2384,33.29,4524,63.17,254,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7162,Republican,63.17
Arkansas,Miller__AR,4869,32.32,9913,65.81,281,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15063,Republican,65.81
Arkansas,Mississippi__AR,6667,47.59,6976,49.79,367,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14010,Republican,49.79
Arkansas,Monroe__AR,1615,46.83,1754,50.86,80,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3449,Republican,50.86
Arkansas,Montgomery__AR,1092,30.15,2365,65.3,165,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3622,Republican,65.3
Arkansas,Nevada__AR,1474,40.55,2062,56.73,99,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3635,Republican,56.73
Arkansas,Newton__AR,1182,29.85,2588,65.35,190,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3960,Republican,65.35
Arkansas,Ouachita__AR,4346,43.63,5427,54.49,187,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9960,Republican,54.49
Arkansas,Perry__AR,1352,31.6,2743,64.1,184,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4279,Republican,64.1
Arkansas,Phillips__AR,5695,63.5,3097,34.53,177,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8969,Democrat,63.5
Arkansas,Pike__AR,1089,27.46,2727,68.76,150,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3966,Republican,68.76
Arkansas,Poinsett__AR,2742,34.59,4903,61.84,283,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7928,Republican,61.84
Arkansas,Polk__AR,1957,25.48,5473,71.25,251,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7681,Republican,71.25
Arkansas,Pope__AR,6002,27.18,15568,70.51,509,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22079,Republican,70.51
Arkansas,Prairie__AR,1048,31,2223,65.75,110,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3381,Republican,65.75
Arkansas,Pulaski__AR,88854,55.07,70212,43.52,2277,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161343,Democrat,55.07
Arkansas,Randolph__AR,2469,39.07,3615,57.21,235,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6319,Republican,57.21
Arkansas,St__Francis__AR,5486,57.72,3917,41.21,102,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9505,Democrat,57.72
Arkansas,Saline__AR,12695,28.43,30981,69.38,977,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44653,Republican,69.38
Arkansas,Scott__AR,1053,26.36,2791,69.86,151,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3995,Republican,69.86
Arkansas,Searcy__AR,961,24.98,2726,70.86,160,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3847,Republican,70.86
Arkansas,Sebastian__AR,13673,31.64,28637,66.27,902,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43212,Republican,66.27
Arkansas,Sevier__AR,1291,28.19,3125,68.23,164,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580,Republican,68.23
Arkansas,Sharp__AR,2436,33.59,4535,62.53,281,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7252,Republican,62.53
Arkansas,Stone__AR,1598,30.02,3534,66.38,192,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5324,Republican,66.38
Arkansas,Union__AR,6190,36.03,10677,62.15,312,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17179,Republican,62.15
Arkansas,Van_Buren__AR,2151,32.09,4276,63.79,276,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6703,Republican,63.79
Arkansas,Washington__AR,29021,42.44,37963,55.52,1396,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68380,Republican,55.52
Arkansas,White__AR,6732,24.97,19467,72.22,756,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26955,Republican,72.22
Arkansas,Woodruff__AR,1412,51.14,1206,43.68,143,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2761,Democrat,51.14
Arkansas,Yell__AR,2003,33.18,3808,63.09,225,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6036,Republican,63.09
California,Alameda__CA,489106,78.76,119555,19.25,12368,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621029,Democrat,78.76
California,Alpine__CA,422,60.98,252,36.42,18,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692,Democrat,60.98
California,Amador__CA,7813,41.54,10561,56.15,436,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18810,Republican,56.15
California,Butte__CA,49013,49.85,46706,47.5,2606,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98325,Democrat,49.85
California,Calaveras__CA,9813,42.11,12835,55.07,658,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23306,Republican,55.07
California,Colusa__CA,2569,39.96,3733,58.07,127,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6429,Republican,58.07
California,Contra_Costa__CA,306983,67.97,136436,30.21,8231,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451650,Democrat,67.97
California,Del_Norte__CA,4323,45.36,4967,52.11,241,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9531,Republican,52.11
California,El_Dorado__CA,40529,43.61,50314,54.14,2083,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92926,Republican,54.14
California,Fresno__CA,136706,50.21,131015,48.12,4568,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272289,Democrat,50.21
California,Glenn__CA,3734,37.8,5910,59.82,235,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9879,Republican,59.82
California,Humboldt__CA,39692,62.28,21713,34.07,2322,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63727,Democrat,62.28
