State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Ron Paul [ 14 ] Libertarian_Votes,Ron Paul [ 14 ] Libertarian_Pct,Leonora Fulani [ 14 ] Independent_Votes,Leonora Fulani [ 14 ] Independent_Pct,Various candidates [ 14 ] Other parties_Votes,Various candidates [ 14 ] Other parties_Pct,Ron Paul Libertarian_Votes,Ron Paul Libertarian_Pct,Lenora Fulani New Alliance_Votes,Lenora Fulani New Alliance_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Various candidates [ 4 ] Other parties_Votes,Various candidates [ 4 ] Other parties_Pct,Ron Paul [ 18 ] Libertarian_Votes,Ron Paul [ 18 ] Libertarian_Pct,Leonora Fulani [ 18 ] New Alliance_Votes,Leonora Fulani [ 18 ] New Alliance_Pct,Ronald Paul Libertarian_Votes,Ronald Paul Libertarian_Pct,Leonora Fulani Independent_Votes,Leonora Fulani Independent_Pct,Leonora Fulani Illinois Solidarity_Votes,Leonora Fulani Illinois Solidarity_Pct,Edward Winn Socialist_Votes,Edward Winn Socialist_Pct,Lyndon LaRouche Independent_Votes,Lyndon LaRouche Independent_Pct,Ron Paul Independent_Votes,Ron Paul Independent_Pct,David Duke [ 4 ] Populist_Votes,David Duke [ 4 ] Populist_Pct,Ron Paul [ 4 ] Libertarian_Votes,Ron Paul [ 4 ] Libertarian_Pct,Leonora Fulani [ 4 ] New Alliance_Votes,Leonora Fulani [ 4 ] New Alliance_Pct,David Duke Independent Populist_Votes,David Duke Independent Populist_Pct,Ron Paul [ 3 ] Libertarian_Votes,Ron Paul [ 3 ] Libertarian_Pct,Various candidates [ 3 ] Other parties_Votes,Various candidates [ 3 ] Other parties_Pct,David Duke Independent_Votes,David Duke Independent_Pct,Leonora Fulani New Alliance_Votes,Leonora Fulani New Alliance_Pct,None of These Candidates_Votes,None of These Candidates_Pct,Lenora Fulani [ 3 ] New Alliance_Votes,Lenora Fulani [ 3 ] New Alliance_Pct,Ron Paul Write-in_Votes,Ron Paul Write-in_Pct,Lyndon LaRouche National Economic Recovery_Votes,Lyndon LaRouche National Economic Recovery_Pct,James Warren Socialist Workers_Votes,James Warren Socialist Workers_Pct,Ron Paul [ 2 ] Libertarian_Votes,Ron Paul [ 2 ] Libertarian_Pct,Lenora Fulani [ 2 ] New Alliance_Votes,Lenora Fulani [ 2 ] New Alliance_Pct,Lenora Branch Fulani [ 4 ] Independent_Votes,Lenora Branch Fulani [ 4 ] Independent_Pct,Leonora Fulani United Citizens_Votes,Leonora Fulani United Citizens_Pct,Lenora Fulani New Alliance Party_Votes,Lenora Fulani New Alliance Party_Pct,James Warren Socialist Workers Party_Votes,James Warren Socialist Workers Party_Pct,Delmar Dennis American_Votes,Delmar Dennis American_Pct,Various candidates [ 4 ] Write-ins_Votes,Various candidates [ 4 ] Write-ins_Pct,Lenora Fulani [ 16 ] Independent_Votes,Lenora Fulani [ 16 ] Independent_Pct,Ron Paul [ 16 ] Libertarian_Votes,Ron Paul [ 16 ] Libertarian_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Clarke__AL,4217,42.09,5708,56.97,84,0.84,2,0.02,9,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10020,Republican,56.97
Alabama,Clay__AL,1602,30.58,3496,66.74,45,0.86,91,1.74,4,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5238,Republican,66.74
Alabama,Cleburne__AL,1383,30.8,3071,68.4,26,0.58,3,0.07,7,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4490,Republican,68.4
Alabama,Coffee__AL,4319,32.34,8890,66.57,126,0.94,15,0.11,5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13355,Republican,66.57
Alabama,Colbert__AL,10397,56.49,7775,42.25,208,1.13,11,0.06,13,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18404,Democrat,56.49
Alabama,Conecuh__AL,3022,47.54,3256,51.22,43,0.68,16,0.25,20,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6357,Republican,51.22
Alabama,Coosa__AL,1860,43.43,2405,56.15,15,0.35,2,0.05,1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4283,Republican,56.15
Alabama,Covington__AL,3845,31.85,8130,67.34,55,0.46,30,0.25,13,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12073,Republican,67.34
Alabama,Crenshaw__AL,1836,41,2617,58.44,15,0.33,5,0.11,5,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4478,Republican,58.44
Alabama,Cullman__AL,8517,36.72,14351,61.87,132,0.57,176,0.76,21,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23197,Republican,61.87
Alabama,Dale__AL,3476,26.94,9266,71.8,131,1.02,19,0.15,13,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12905,Republican,71.8
Alabama,Dallas__AL,9660,55.44,7630,43.79,107,0.61,18,0.1,8,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17423,Democrat,55.44
Alabama,DeKalb__AL,7333,38.72,11478,60.6,106,0.56,14,0.07,9,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18940,Republican,60.6
Alabama,Elmore__AL,4501,28.97,10852,69.84,160,1.03,13,0.08,13,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15539,Republican,69.84
Alabama,Escambia__AL,4020,36.7,6807,62.14,66,0.6,35,0.32,26,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10954,Republican,62.14
Alabama,Etowah__AL,17762,49.49,17828,49.67,155,0.43,114,0.32,32,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35891,Republican,49.67
Alabama,Fayette__AL,3186,42.16,4338,57.4,15,0.2,6,0.08,12,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7557,Republican,57.4
Alabama,Franklin__AL,4961,48.44,5146,50.25,121,1.18,8,0.08,5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10241,Republican,50.25
Alabama,Geneva__AL,2685,31.69,5703,67.32,45,0.53,27,0.32,12,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8472,Republican,67.32
Alabama,Greene__AL,3295,75.28,1048,23.94,29,0.66,3,0.07,2,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4377,Democrat,75.28
Alabama,Hale__AL,3187,56.39,2414,42.71,35,0.62,10,0.18,6,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5652,Democrat,56.39
Alabama,Henry__AL,2206,37.75,3613,61.82,13,0.22,6,0.1,6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5844,Republican,61.82
Alabama,Houston__AL,7001,25.87,19989,73.87,44,0.16,15,0.06,12,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27061,Republican,73.87
Alabama,Jackson__AL,7418,54.27,6090,44.55,147,1.08,8,0.06,6,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13669,Democrat,54.27
Alabama,Jefferson__AL,107766,41.8,148879,57.74,781,0.3,282,0.11,73,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257833,Republican,57.74
Alabama,Lamar__AL,2274,41.38,3214,58.48,5,0.09,1,0.02,2,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5496,Republican,58.48
Alabama,Lauderdale__AL,12862,49.13,12942,49.43,325,1.24,11,0.04,88,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26180,Republican,49.43
Alabama,Lawrence__AL,4646,55.2,3616,42.96,83,0.99,63,0.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8417,Democrat,55.2
Alabama,Lee__AL,9078,34.02,17180,64.39,393,1.47,19,0.07,19,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26683,Republican,64.39
Alabama,Limestone__AL,5455,36.96,9086,61.56,186,1.26,23,0.16,14,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14760,Republican,61.56
Alabama,Lowndes__AL,3328,69.68,1405,29.42,31,0.65,7,0.15,10,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4776,Democrat,69.68
Alabama,Macon__AL,6351,81.88,1304,16.81,40,0.52,53,0.68,8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7756,Democrat,81.88
Alabama,Madison__AL,25800,32.29,53575,67.06,353,0.44,108,0.14,58,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79894,Republican,67.06
Alabama,Marengo__AL,4402,50.45,4241,48.61,65,0.74,14,0.16,3,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8725,Democrat,50.45
Alabama,Marion__AL,4505,42.92,5955,56.73,17,0.16,4,0.04,16,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10497,Republican,56.73
Alabama,Marshall__AL,7357,36.88,12148,60.9,264,1.32,66,0.33,112,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19947,Republican,60.9
Alabama,Mobile__AL,45524,38.39,72203,60.88,766,0.65,74,0.06,30,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118597,Republican,60.88
Alabama,Monroe__AL,3509,39.19,5379,60.07,45,0.5,17,0.19,4,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8954,Republican,60.07
Alabama,Montgomery__AL,28709,40.79,41131,58.43,471,0.67,66,0.09,14,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70391,Republican,58.43
Alabama,Morgan__AL,10594,36.04,18679,63.54,73,0.25,24,0.08,27,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29397,Republican,63.54
Alabama,Perry__AL,3574,62.07,2107,36.59,52,0.9,13,0.23,12,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5758,Democrat,62.07
Alabama,Pickens__AL,3107,44.5,3851,55.16,11,0.16,4,0.06,9,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6982,Republican,55.16
Alabama,Pike__AL,3813,38.82,5897,60.04,90,0.92,7,0.07,14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9821,Republican,60.04
Alabama,Randolph__AL,2462,34.08,4625,64.02,128,1.77,1,0.01,8,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7224,Republican,64.02
Alabama,Russell__AL,6589,50.35,6333,48.4,134,1.02,16,0.12,14,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13086,Democrat,50.35
Alabama,Shelby__AL,7138,20.8,27052,78.84,72,0.21,26,0.08,26,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34314,Republican,78.84
Alabama,St__Clair__AL,4335,28.91,10604,70.71,36,0.24,8,0.05,14,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14997,Republican,70.71
Alabama,Sumter__AL,4390,66.21,2212,33.36,11,0.17,7,0.11,10,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6630,Democrat,66.21
Alabama,Talladega__AL,8291,38.55,12973,60.32,126,0.59,76,0.35,40,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21506,Republican,60.32
Alabama,Tallapoosa__AL,4598,34.58,8502,63.93,176,1.32,9,0.07,13,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13298,Republican,63.93
Alabama,Tuscaloosa__AL,18166,39.7,27396,59.87,118,0.26,46,0.1,32,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45758,Republican,59.87
Alabama,Walker__AL,11338,49.95,11011,48.51,156,0.69,179,0.79,16,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22700,Democrat,49.95
Alabama,Washington__AL,3402,47.49,3741,52.23,8,0.11,8,0.11,4,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7163,Republican,52.23
Alabama,Wilcox__AL,3369,65.83,1739,33.98,3,0.06,2,0.04,5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5118,Democrat,65.83
Alabama,Winston__AL,2954,32.02,6235,67.59,16,0.17,9,0.1,11,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9225,Republican,67.59
Arizona,Apache__AZ,8944,61.5,5347,36.76,0,0,0,0,0,0,224,1.54,26,0.18,3,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14544,Democrat,61.5
Arizona,Cochise__AZ,11812,42.11,15815,56.38,0,0,0,0,0,0,362,1.29,49,0.17,12,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28050,Republican,56.38
Arizona,Coconino__AZ,14660,45.61,16649,51.8,0,0,0,0,0,0,757,2.36,56,0.17,18,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32140,Republican,51.8
Arizona,Gila__AZ,7147,46.72,7861,51.38,0,0,0,0,0,0,254,1.66,35,0.23,2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15299,Republican,51.38
Arizona,Graham__AZ,3407,39.38,5120,59.18,0,0,0,0,0,0,97,1.12,24,0.28,4,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8652,Republican,59.18
Arizona,Greenlee__AZ,1733,52.48,1526,46.21,0,0,0,0,0,0,37,1.12,6,0.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3302,Democrat,52.48
Arizona,La_Paz__AZ,1746,39.9,2562,58.55,0,0,0,0,0,0,62,1.42,6,0.14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4376,Republican,58.55
Arizona,Maricopa__AZ,230952,33.89,442337,64.9,0,0,0,0,0,0,7199,1.06,885,0.13,145,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681518,Republican,64.9
Arizona,Mohave__AZ,10197,36.05,17651,62.4,0,0,0,0,0,0,381,1.35,33,0.12,24,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28286,Republican,62.4
Arizona,Navajo__AZ,9023,45.86,10393,52.82,0,0,0,0,0,0,217,1.1,42,0.21,2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19677,Republican,52.82
Arizona,Pima__AZ,113824,48.54,117899,50.28,0,0,0,0,0,0,2393,1.02,314,0.13,43,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234473,Republican,50.28
Arizona,Pinal__AZ,13850,47.46,14966,51.29,0,0,0,0,0,0,318,1.09,41,0.14,5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29180,Republican,51.29
Arizona,Santa_Cruz__AZ,3268,48.85,3320,49.63,0,0,0,0,0,0,89,1.33,13,0.19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6690,Republican,49.63
Arizona,Yavapai__AZ,14514,33.59,27842,64.44,0,0,0,0,0,0,733,1.7,97,0.22,20,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43206,Republican,64.44
Arizona,Yuma__AZ,8952,39.82,13253,58.95,0,0,0,0,0,0,228,1.01,35,0.16,12,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22480,Republican,58.95
Arkansas,Arkansas__AR,3075,42.68,4007,55.61,0,0,0,0,0,0,0,0,0,0,123,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7205,Republican,55.61
Arkansas,Ashley__AR,4466,51.58,4111,47.48,0,0,0,0,0,0,0,0,0,0,82,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8659,Democrat,51.58
Arkansas,Baxter__AR,4808,35.36,8614,63.35,0,0,0,0,0,0,0,0,0,0,175,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13597,Republican,63.35
